doc,pass,min_similarity,top_n_candidates,top_k,candidate_count,selected_chunk_count,expanded_ref_count,selected_chunk_token_estimate,gt_coverage,full_doc_chunks,rerank_ms_full_corpus
Dvina,radar_power_rf,0.2,25,5,25,5,7,2329,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,25,10,25,10,14,4251,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,25,15,25,15,16,4486,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,25,20,25,20,33,6555,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,25,30,25,25,65,8674,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,50,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.2,50,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,50,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,50,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,50,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,75,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.2,75,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,75,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,75,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,75,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,100,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.2,100,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.2,100,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,100,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.2,100,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,25,5,25,5,7,2329,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,25,10,25,10,14,4251,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,25,15,25,15,16,4486,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,25,20,25,20,33,6555,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,25,30,25,25,65,8674,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,50,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.25,50,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,50,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,50,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,50,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,75,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.25,75,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,75,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,75,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,75,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,100,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.25,100,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.25,100,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,100,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.25,100,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,25,5,25,5,7,2329,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,25,10,25,10,14,4251,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,25,15,25,15,16,4486,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,25,20,25,20,33,6555,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,25,30,25,25,65,8674,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,50,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.3,50,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,50,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,50,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,50,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,75,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.3,75,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,75,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,75,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,75,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,100,5,45,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.3,100,10,45,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.3,100,15,45,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,100,20,45,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.3,100,30,45,30,51,12645,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,25,5,25,5,7,2329,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,25,10,25,10,14,4251,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,25,15,25,15,16,4486,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,25,20,25,20,33,6555,0.26666666666666666,45,23047.33823798597
